layerID,head,strategy,score
0,0,special_punch_window_heavy_hitter,0.95703125
0,1,special_punch_window_heavy_hitter,0.94921875
0,2,special_punch_window_heavy_hitter,0.94140625
0,3,special_punch_window_heavy_hitter,0.9375
0,4,special_punch_window_heavy_hitter,0.96875
0,5,special_punch_window_heavy_hitter,0.93359375
0,6,special_punch_window_heavy_hitter,0.94921875
0,7,special_punch_window_heavy_hitter,0.9453125
0,8,special_punch_window_heavy_hitter,0.9375
0,9,special_punch_window_heavy_hitter,0.95703125
0,10,special_punch_window_heavy_hitter,0.94140625
0,11,special_punch_window_heavy_hitter,0.953125
0,12,special_punch_window_heavy_hitter,0.921875
0,13,special_punch_window_heavy_hitter,0.94921875
0,14,special_punch_window_heavy_hitter,0.9453125
0,15,special_punch_window_heavy_hitter,0.96484375
0,16,special_punch_window_heavy_hitter,0.9453125
0,17,special_punch_window_heavy_hitter,0.9375
0,18,special_punch_window_heavy_hitter,0.94921875
0,19,special_punc_heavy_hitter,0.9140625
0,20,special_punch_window_heavy_hitter,0.9375
0,21,special_punch_window_heavy_hitter,0.96875
0,22,special_punch_window_heavy_hitter,0.96875
0,23,special_punch_window_heavy_hitter,0.94921875
0,24,special_punch_window_heavy_hitter,0.9375
0,25,special_punch_window_heavy_hitter,0.97265625
0,26,special_punch_window_heavy_hitter,0.94140625
0,27,special_punch_window_heavy_hitter,0.9375
0,28,special_punch_window_heavy_hitter,0.9296875
0,29,special_punch_window_heavy_hitter,0.96484375
0,30,special_punch_window_heavy_hitter,0.93359375
0,31,special_punch_window_heavy_hitter,0.93359375
1,0,special_punch_window_heavy_hitter,0.9765625
1,1,special_punch_window_heavy_hitter,0.96484375
1,2,special_punch_window_heavy_hitter,0.94921875
1,3,special_punch_window_heavy_hitter,0.97265625
1,4,special_punch_window_heavy_hitter,0.96875
1,5,special_punch_window_heavy_hitter,0.9453125
1,6,special_punch_window_heavy_hitter,0.9765625
1,7,special_punch_window_heavy_hitter,0.96484375
1,8,special_punch_window_heavy_hitter,0.96484375
1,9,special_punc_heavy_hitter,0.8984375
1,10,special_punch_window_heavy_hitter,0.95703125
1,11,special_punch_window_heavy_hitter,0.96875
1,12,special_punch_window_heavy_hitter,0.96484375
1,13,special_punch_window_heavy_hitter,0.9765625
1,14,special_punch_window_heavy_hitter,0.97265625
1,15,special_punch_window_heavy_hitter,0.98828125
1,16,special_punch_window_heavy_hitter,0.984375
1,17,special_punch_window_heavy_hitter,0.96875
1,18,special_punc_heavy_hitter,0.9140625
1,19,special_punch_window_heavy_hitter,0.98046875
1,20,special_punch_window_heavy_hitter,0.9609375
1,21,special_punch_window_heavy_hitter,0.97265625
1,22,special_punch_window_heavy_hitter,0.98828125
1,23,special_punch_window_heavy_hitter,0.96484375
1,24,special_punch_window_heavy_hitter,0.984375
1,25,special_punch_window_heavy_hitter,0.95703125
1,26,special_punc_heavy_hitter,0.91796875
1,27,special_punch_window_heavy_hitter,0.984375
1,28,special_punch_window_heavy_hitter,0.984375
1,29,special_punch_window_heavy_hitter,0.94140625
1,30,special_punch_window_heavy_hitter,0.95703125
1,31,special_punch_window_heavy_hitter,0.97265625
2,0,special_punc_heavy_hitter,0.96875
2,1,special_punc_heavy_hitter,0.95703125
2,2,special_punc_heavy_hitter,0.97265625
2,3,special_punc_heavy_hitter,0.98828125
2,4,special_punc_heavy_hitter,0.9453125
2,5,special_punc_heavy_hitter,0.9609375
2,6,special_punc_heavy_hitter,0.97265625
2,7,special_punc_heavy_hitter,0.94140625
2,8,special_punc_heavy_hitter,0.97265625
2,9,special_punc_heavy_hitter,0.97265625
2,10,special_punc_heavy_hitter,0.98046875
2,11,special_punc_heavy_hitter,0.94140625
2,12,special_punc_heavy_hitter,0.96484375
2,13,special_punc_heavy_hitter,0.98046875
2,14,special_punc_heavy_hitter,0.96484375
2,15,special_punc_heavy_hitter,0.97265625
2,16,special_punc_heavy_hitter,0.96875
2,17,special_punc_heavy_hitter,0.96875
2,18,special_punc_heavy_hitter,0.98046875
2,19,special_punc_heavy_hitter,0.98046875
